year,region,gear,country,species,fishingdays,vessels
2018,NW,midwater_trawl,Russia,jpn_sardine,50,1176
2017,NW,midwater_trawl,Russia,jpn_sardine,26,517
2016,NW,midwater_trawl,Russia,jpn_sardine,12,304
2015,NW,midwater_trawl,Russia,jpn_sardine,1,9
2014,NW,midwater_trawl,Russia,jpn_sardine,2,3
2020,NW,other,Russia,jpn_sardine,21,266
2019,NW,other,Russia,jpn_sardine,2,13
2018,NW,other,Russia,jpn_sardine,4,12
2017,NW,other,Russia,jpn_sardine,5,32
2016,NW,other,Russia,jpn_sardine,5,13
2015,NW,other,Russia,jpn_sardine,1,1
2014,NW,other,Russia,jpn_sardine,1,1
2020,CA,midwater_trawl,Russia,jpn_sardine,3,16
2019,CA,midwater_trawl,Russia,jpn_sardine,0,0
2018,CA,midwater_trawl,Russia,jpn_sardine,0,0
2017,CA,midwater_trawl,Russia,jpn_sardine,1,1
2016,CA,midwater_trawl,Russia,jpn_sardine,2,10
2015,CA,midwater_trawl,Russia,jpn_sardine,2,13
2014,CA,midwater_trawl,Russia,jpn_sardine,2,3
2020,CA,other,Russia,jpn_sardine,1,6
2019,CA,other,Russia,jpn_sardine,2,3
2018,CA,other,Russia,jpn_sardine,1,3
2017,CA,other,Russia,jpn_sardine,3,11
2020,NW,purse_seine,Japan,chub_spotted_mackerel,NA,NA
2019,NW,purse_seine,Japan,chub_spotted_mackerel,58,6203
2018,NW,purse_seine,Japan,chub_spotted_mackerel,57,6429
2017,NW,purse_seine,Japan,chub_spotted_mackerel,57,6844
2016,NW,purse_seine,Japan,chub_spotted_mackerel,53,6881
2015,NW,purse_seine,Japan,chub_spotted_mackerel,52,6726
2014,NW,purse_seine,Japan,chub_spotted_mackerel,55,7233
2013,NW,purse_seine,Japan,chub_spotted_mackerel,55,7125
2012,NW,purse_seine,Japan,chub_spotted_mackerel,54,5400
2011,NW,purse_seine,Japan,chub_spotted_mackerel,50,5966
2010,NW,purse_seine,Japan,chub_spotted_mackerel,44,3524
2019,CA,bottom_trawl,Japan,chub_spotted_mackerel,3,594
2010,CA,bottom_trawl,Japan,chub_spotted_mackerel,5,845
2009,CA,bottom_trawl,Japan,chub_spotted_mackerel,6,775
2008,CA,bottom_trawl,Japan,chub_spotted_mackerel,5,882
2007,CA,bottom_trawl,Japan,chub_spotted_mackerel,7,1093
2006,CA,bottom_trawl,Japan,chub_spotted_mackerel,7,973
2005,CA,bottom_trawl,Japan,chub_spotted_mackerel,8,1014
2004,CA,bottom_trawl,Japan,chub_spotted_mackerel,7,939
2003,CA,bottom_trawl,Japan,chub_spotted_mackerel,3,680
2002,CA,bottom_trawl,Japan,chub_spotted_mackerel,4,801
2001,CA,bottom_trawl,Japan,chub_spotted_mackerel,4,529
2000,CA,bottom_trawl,Japan,chub_spotted_mackerel,4,545
1999,CA,bottom_trawl,Japan,chub_spotted_mackerel,4,600
1998,CA,bottom_trawl,Japan,chub_spotted_mackerel,5,757
1997,CA,bottom_trawl,Japan,chub_spotted_mackerel,3,516
1996,CA,bottom_trawl,Japan,chub_spotted_mackerel,5,576
1995,CA,bottom_trawl,Japan,chub_spotted_mackerel,9,1163
2020,CA,purse_seine,China,chub_spotted_mackerel,51,8459
2019,CA,purse_seine,China,chub_spotted_mackerel,29,4900
2018,CA,purse_seine,China,chub_spotted_mackerel,62,12341
2017,CA,purse_seine,China,chub_spotted_mackerel,75,16413
2016,CA,purse_seine,China,chub_spotted_mackerel,82,14824
2015,CA,purse_seine,China,chub_spotted_mackerel,78,14293
2020,NW,pelagic_trawl,China,chub_spotted_mackerel,0,0
2019,NW,pelagic_trawl,China,chub_spotted_mackerel,0,0
2018,NW,pelagic_trawl,China,chub_spotted_mackerel,0,0
2017,NW,pelagic_trawl,China,chub_spotted_mackerel,0,0
2016,NW,pelagic_trawl,China,chub_spotted_mackerel,0,0
2015,NW,pelagic_trawl,China,chub_spotted_mackerel,3,80
2020,CA,pelagic_trawl,China,chub_spotted_mackerel,2,296
2019,CA,pelagic_trawl,China,chub_spotted_mackerel,3,293
2018,CA,pelagic_trawl,China,chub_spotted_mackerel,3,158
2017,CA,pelagic_trawl,China,chub_spotted_mackerel,3,259
2016,CA,pelagic_trawl,China,chub_spotted_mackerel,7,548
2015,CA,pelagic_trawl,China,chub_spotted_mackerel,2,193
2020,NW,purse_seine,Russia,chub_spotted_mackerel,2,30
2019,NW,purse_seine,Russia,chub_spotted_mackerel,2,64
2018,NW,purse_seine,Russia,chub_spotted_mackerel,2,22
2017,NW,purse_seine,Russia,chub_spotted_mackerel,2,37
2016,NW,purse_seine,Russia,chub_spotted_mackerel,2,3
2020,NW,bottom_trawl,Russia,chub_spotted_mackerel,14,107
2019,NW,bottom_trawl,Russia,chub_spotted_mackerel,1,2
2018,NW,bottom_trawl,Russia,chub_spotted_mackerel,1,1
2017,NW,bottom_trawl,Russia,chub_spotted_mackerel,0,0
2016,NW,bottom_trawl,Russia,chub_spotted_mackerel,1,5
2020,NW,midwater_trawl,Russia,chub_spotted_mackerel,70,2088
2019,NW,midwater_trawl,Russia,chub_spotted_mackerel,57,1606
2018,NW,midwater_trawl,Russia,chub_spotted_mackerel,51,1794
2017,NW,midwater_trawl,Russia,chub_spotted_mackerel,29,935
2016,NW,midwater_trawl,Russia,chub_spotted_mackerel,25,499
2015,NW,midwater_trawl,Russia,chub_spotted_mackerel,9,44
2014,NW,midwater_trawl,Russia,chub_spotted_mackerel,1,4
2020,CA,midwater_trawl,Russia,chub_spotted_mackerel,3,15
2019,CA,midwater_trawl,Russia,chub_spotted_mackerel,1,13
2018,CA,midwater_trawl,Russia,chub_spotted_mackerel,0,0
2017,CA,midwater_trawl,Russia,chub_spotted_mackerel,1,2
2016,CA,midwater_trawl,Russia,chub_spotted_mackerel,3,15
2015,CA,midwater_trawl,Russia,chub_spotted_mackerel,5,16
2014,CA,midwater_trawl,Russia,chub_spotted_mackerel,2,2
2020,NW,other,Russia,chub_spotted_mackerel,10,131
2019,NW,other,Russia,chub_spotted_mackerel,2,16
2018,NW,other,Russia,chub_spotted_mackerel,3,10
2017,NW,other,Russia,chub_spotted_mackerel,6,27
2016,NW,other,Russia,chub_spotted_mackerel,15,54
2015,NW,other,Russia,chub_spotted_mackerel,8,39
2014,NW,other,Russia,chub_spotted_mackerel,9,68
2020,CA,other,Russia,chub_spotted_mackerel,2,8
2019,CA,other,Russia,chub_spotted_mackerel,2,10
2018,CA,other,Russia,chub_spotted_mackerel,1,4
2017,CA,other,Russia,chub_spotted_mackerel,2,16
